0,1,2,3,4,5
-59.08203125,-149.4140625,-498.53515625,-128.41796875,13.18359375,0
-33.69140625,-51.7578125,-339.35546875,1.46484375,-149.90234375,0
-39.55078125,-57.12890625,-408.203125,76.171875,-81.0546875,0
-41.015625,-94.23828125,-406.73828125,-28.80859375,-11.23046875,0
-29.78515625,-2.9296875,-385.25390625,-151.3671875,-168.45703125,0
-34.1796875,-16.11328125,-422.36328125,-114.2578125,-192.87109375,0
12.6953125,-97.16796875,-409.1796875,48.33984375,-81.0546875,0
9.765625,-115.234375,-458.984375,71.77734375,180.6640625,0
-12.6953125,-92.7734375,-451.66015625,-72.75390625,172.36328125,0
3.90625,-14.16015625,-375.9765625,-61.03515625,-199.21875,0
29.78515625,-3.41796875,-420.41015625,114.2578125,-155.76171875,0
-10.7421875,-28.3203125,-526.3671875,63.4765625,182.12890625,0
-56.15234375,-26.85546875,-428.22265625,-112.3046875,181.15234375,0
22.94921875,28.80859375,-297.36328125,-84.9609375,-302.734375,0
68.359375,-8.7890625,-395.01953125,56.640625,-212.40234375,0
37.109375,-58.10546875,-369.140625,60.05859375,-14.16015625,0
10.7421875,-47.36328125,-343.75,-40.0390625,-102.5390625,0
-29.78515625,-52.734375,-397.4609375,-175.78125,-302.734375,0
-36.1328125,-29.78515625,-440.4296875,-78.125,-255.859375,0
-47.8515625,-16.6015625,-445.3125,18.5546875,66.40625,0
-61.5234375,5.37109375,-375.9765625,-41.015625,120.1171875,0
-44.921875,-25.390625,-375.0,-126.953125,-157.2265625,0
-30.76171875,-74.70703125,-468.26171875,-54.19921875,-166.015625,0
-24.90234375,-77.63671875,-463.8671875,44.43359375,121.09375,0
-38.0859375,-75.1953125,-375.48828125,-5.37109375,-15.625,0
-8.30078125,-63.96484375,-411.62109375,-127.44140625,-294.43359375,0
-21.97265625,-80.078125,-459.47265625,-121.58203125,-147.4609375,0
-99.12109375,-154.296875,-465.33203125,-43.45703125,25.390625,0
-66.89453125,-147.94921875,-368.1640625,-15.13671875,-120.60546875,0
-20.99609375,-117.1875,-405.2734375,-76.171875,-219.23828125,0
-12.6953125,-45.41015625,-417.48046875,-139.16015625,-83.984375,0
-21.97265625,-118.1640625,-374.0234375,-16.11328125,92.7734375,0
-36.1328125,-210.44921875,-382.8125,72.75390625,156.25,0
-22.94921875,-107.91015625,-366.69921875,-12.6953125,8.30078125,0
-1.46484375,-107.91015625,-437.01171875,-118.65234375,-41.015625,0
-12.6953125,-127.9296875,-402.83203125,-31.73828125,169.43359375,0
-50.29296875,-98.6328125,-293.45703125,29.296875,-33.69140625,0
-66.89453125,-83.0078125,-362.3046875,-35.15625,-170.8984375,0
-54.6875,-113.76953125,-386.23046875,-152.83203125,-176.26953125,0
6.8359375,-156.25,-331.0546875,-84.47265625,-104.98046875,0
90.33203125,-44.43359375,-279.78515625,126.46484375,-20.5078125,0
72.265625,-63.96484375,-364.2578125,129.39453125,7.32421875,0
-26.3671875,-144.53125,-422.36328125,-89.84375,-3.41796875,0
-37.109375,-101.5625,-388.18359375,-96.6796875,-78.125,0
4.8828125,-3.41796875,-317.3828125,57.12890625,-33.69140625,0
-23.92578125,1.46484375,-418.45703125,65.91796875,59.5703125,0
-43.9453125,-61.03515625,-464.35546875,-61.5234375,238.28125,0
-16.6015625,-17.578125,-230.95703125,-132.8125,-29.78515625,0
-9.765625,-10.7421875,-268.06640625,6.8359375,-262.20703125,0
-21.97265625,-26.3671875,-390.625,62.5,-78.61328125,0
-33.203125,-21.97265625,-416.015625,-31.73828125,-46.38671875,0
-60.546875,4.39453125,-406.25,-155.2734375,-281.25,0
-53.22265625,84.9609375,-422.8515625,-54.6875,-312.5,0
-49.31640625,27.83203125,-439.453125,37.109375,101.07421875,0
-91.30859375,-27.83203125,-402.34375,-25.390625,300.78125,0
